时间,标题,url,内容
2018-09-12 21:15:40,天猫成为未来五年中超联赛综合类电商官方高级合作伙伴,http://www.egsea.com/news/detail?id=297217,中超联赛有限责任公司、天猫以及盛开体育12日召开新闻发布会，宣布天猫成为未来五年中超联赛综合类电商官方高级合作伙伴，盛开体育成为中超联赛特许产品独家运营商。天猫总裁靖捷表示，将会基于新零售打通足球产业链，联合更多品牌和商业力量，将赛事的影响力和商业价值发挥到最大化，带动中国足球文化和市场发展，同时也期待和中超一起开发出更多商业赛道。（新华社）
2018-09-12 18:12:54,甘来科技推出零售机器人，进入机器人领域,,36氪获悉，9月12日，人工智能+新零售企业甘来科技举行2018零售新物种未来产品发布会，发布了三款全新产品，其中包括一款零售机器人X-MAN，宣告甘来正式进入机器人领域。
2018-09-11 17:58:21,TalkingData T11 2018数据智能峰会成功举办,,36氪获悉，以“突破”为主题的T112018暨TalkingData数据智能峰会于9月11日在北京成功举办。大会设置“数创未来”智慧城市峰会、“智变金融”新金融峰会、“数聚零售”新零售峰会以及智胜营销暨BestAudienceBuying颁奖盛典，吸引数千名相关行业从业者到场参会，探讨以数据驱动突破发展的新模式、新路径。
2018-09-11 15:28:37,大搜车姚军红：我不做“赌客”，要做“赌场”,http://www.nbd.com.cn/articles/2018-09-10/1253640.html,日前，大搜车宣布获得5.78亿美元的新一轮融资。现在，大搜车正以弹个车为试点，试图在新车和二手车领域落地“新零售”理念。大搜车创始人姚军红表示，下一步，公司要去金融化。大搜车要做“连接器”。“我不能做赌客，要做‘赌场’。‘赌场’就是建立行业规则、为各方建立一个平台，帮助每个人提高效率。”姚军红说。（每日经济新闻）
2018-09-11 12:51:04,天猫、新七天和盒马鲜生共同打造“未来厨房”线下场景式体验店,http://www.linkshop.com.cn/web/archives/2018/409624.shtml,日前，天猫、新七天和盒马鲜生共同打造“未来厨房”线下场景式体验店。新七天CEO左英杰谈到，未来厨房是由天猫、盒马、新七天联手打造，旨在为消费者提供基于厨房的场景式新零售体验服务。“未来厨房”立足于盒马高端消费者，通过线下门店明星综艺节目、互动体验教学等多种组合活动方式，让消费者在体验美食制作过程中实地体验厨房用品。（亿邦动力网）
2018-09-10 18:02:21,荣耀与天猫达成深度战略合作,https://www.jiemian.com/article/2458848.html,9月10日，荣耀与天猫正式在杭州签署战略合作协议，双方就新品首发、大数据打通、新零售布局、双11大促等方面全面达成深度战略合作。会议上，天猫透露，荣耀天猫官方旗舰店粉丝量已积累超过1300万，粉丝成交占比高达40%。（界面）
2018-09-10 10:48:05,人人车宣布在国内推出二手车严选商城,,36氪讯，9月10日，人人车宣布率先推出二手车严选商城。作为国内首个二手车电商严选品牌，严选商城采用专家选品模式，从海量好车中精选最优质车源，在线上线下集中展示售卖，打造线上线下一体的二手车交易闭环。人人车创始人兼CEO李健表示，推出二手车严选商城，旨在为用户打造“闭着眼买好车”的二手车新零售体验。
2018-09-10 10:16:41,汽车交易平台鄂车获4900万元种子轮融资,http://pe.pedaily.cn/201809/435680.shtml,9月10日消息，主营汽车供应链管理及汽车新零售的鄂车宣布已于8月完成4900万元种子轮融资，融资后估值5亿人民币。鄂车的定位是汽车行业的“支付宝”，所以本轮融资的一大用途就是继续完善旗下汽车金融体系。（投资界）
2018-09-07 08:58:30,平安好医生与华润三九达成战略合作,,36氪讯，平安好医生与华润三九医药股份有限公司今日达成战略合作协议，双方将在医药新零售领域展开深度合作，利用平安好医生自有的互联网医院、医疗团队以及互联网医疗流量，同时发挥华润三九在医药端的产品和品牌优势，打通从咨询问诊、处方、产品到配送服务闭环，为用户提供更全面的医疗健康服务体验。
2018-09-06 18:14:50,国美控股集团与车势公司实现合作 ，探索汽车新零售,,36氪讯，9月6日下午，国美控股集团与车势公司在北京签订合作协议，双方将在汽车新零售领域展开合作，利用国美零售门店、金融业务、汽车后服务等优势资源，并结合车势公司优秀的数字零售体系、车源及线下渠道运营能力，探索汽车新零售。
2018-09-06 13:33:59,传菜鸟牵头旗下落地配公司成立“新零售配送联盟”,http://www.ebrun.com/20180906/296012.shtml?eb=hp_home_lcol_xtt,知情人士称，菜鸟已经牵头其并购的几家落地配公司（上海万象、南京晟邦、成都东骏、浙江芝麻开门以及陕西黄马甲）成立“新零售配送联盟”，在全国铺设五大区直营网络服务新零售。这支队伍会在年底前以一个新的落地配品牌呈现——新配盟。（亿邦动力网）
2018-09-03 07:07:49,国美孵化线下新零售门店，预计全年新开店800家,http://www.zqrb.cn/gscy/qiyexinxi/2018-09-03/A1535906418564.html,近日，国美宣布其旗下的“国美黑天鹅中央大街生活馆”正式开业亮相。国美方面表示，这是其在“家·生活”战略之下孵化出的第一个线下新物种。公司半年报显示，上半年国美在全国门店总数已达到1867家。渠道下沉成效显著，其中县域店总数已扩张至283家，预计年底之前，新开县域店总数将达到800家。（证券日报）
2018-08-31 07:36:09,阿里CEO张勇：祝贺银泰付费会员突破100万大关,http://www.linkshop.com.cn/web/archives/2018/408942.shtml,8月30日晚间，阿里巴巴CEO张勇发表内部信，透露银泰数字化付费会员——INTIME365突破一百万大关。张勇透露，银泰新零售将重点推两项工作：导购的数字化、实现对品牌的全流程透视。据悉，银泰于今年6月已经启动导购新零售步伐，并设定6月18日为导购专属的“银泰宝贝日”。（联商网）
2018-08-28 20:51:01,金蝶汽车网络获大搜车A轮融资,https://www.iyiou.com/breaking/18939,金蝶国际旗下独立子公司“金蝶汽车网络”宣布完成A轮融资，投资方为中国领先的汽车新零售平台——大搜车。金蝶汽车网络方面透露，本轮融资后，将完善其核心产品“车商悦”的产品布局，加大产品开发力度，提升客户体验，加速进军汽车行业信息化领域。（亿欧）
2018-08-27 20:47:00,车叫兽CEO周小梁：汽车自媒体估值已达1个亿，提高品牌辨识度是当下要紧事,https://36kr.com/p/5149826.html,36氪获悉，车叫兽CEO周小梁透露，车叫兽估值已达到一亿元人民币。做自媒体的初衷是想帮用户解决买车用车中的痛点和被套路，解决信息的不透明，并满足消费升级的需求。周小梁表示，他们并不满足于线上的知名度，而是更希望辐射到线下，通过新零售的方式提高品牌辨识度，筛选出核心的“超级用户”，探索更多的变现模式。
